steepness,alpha,beta,M,M12,Model,CPUE,Total.likelihood,Total.LF,Total.CPUE,Age.length,BH.Steep,CPUE.LL.WCPO,CPUE.Troll,CPUE.LL.EPO,LF.NZ.troll.Samp.14.16,LF.NZ.troll,Maximum.gradient,negvals,Steepness,Frecent.Fmsy,CV.fmsy,SB.SBmsy,SD.SBmsy,Sbrecent.SBF0,SD.depletion,trimodality,bimodality
0.948342875,17.3990625,3.3759375,0.280363392,0.260236537,80,north.WCPO,-41815.62405,-42453.48925,-166.0834267,786.8042666,10.35462189,-85.40524354,-7.679448497,-72.99873465,-130.910128,-4711.986509,6.68E-07,0,0.948342875,0.288683603,0.059874896,2.641,0.20558493,0.373260019,0.050376628,0.14,0.399
0.883494527,17.3990625,3.3759375,0.368715753,0.342246218,81,north.WCPO,-41830.51287,-42459.91941,-172.5822562,786.1682268,9.222444653,-86.16421047,-11.60173565,-74.81631007,-130.8216854,-4710.559193,8.00E-07,0,0.883494527,0.175746924,0.073746579,3.061,0.27545534,0.479863783,0.048702587,0.14,0.385
0.70194094,17.3990625,3.3759375,0.433070123,0.401980688,82,north.WCPO,-41837.43642,-42463.05277,-175.7098767,786.1773022,8.65377075,-86.29664988,-13.55735361,-75.8558732,-130.7504569,-4709.221184,6.02E-07,0,0.70194094,0.231213873,0.084668617,2.442,0.23380208,0.533762124,0.044115658,0.182,0.357
0.915095357,17.3990625,3.3759375,0.357371147,0.331716025,83,north.WCPO,-41824.17471,-42464.28854,-172.3693778,796.7089267,9.185324489,-85.49337308,-12.15940206,-74.71660263,-130.502566,-4704.955315,9.52E-07,0,0.915095357,0.151217299,0.073922854,3.329,0.29616066,0.492005197,0.048306187,0.07,0.371
0.942322566,17.3990625,3.3759375,0.403938903,0.374940753,84,north.WCPO,-41721.64986,-42541.64529,-177.40949,984.4248736,7.89485492,-84.60235016,-17.11457898,-75.69256088,-132.8605685,-4758.620237,1.25E-06,0,0.942322566,0.063051702,0.083086117,5.571,0.54630516,0.558577447,0.046813204,0.112,0.503
0.851022132,17.3990625,3.3759375,0.310614065,0.288315561,85,north.WCPO,-41821.49571,-42455.98859,-168.6789953,786.5471245,9.906215619,-85.73512997,-9.190358611,-73.75350674,-130.8853494,-4711.622381,2.45E-06,0,0.851022132,0.347705146,0.064441966,2.306,0.1925342,0.403553988,0.049959237,0.168,0.378
0.914151595,17.3990625,3.3759375,0.360751817,0.334854001,86,north.WCPO,-41829.43189,-42459.44565,-172.1071818,786.1994332,9.308063517,-86.13239892,-11.31026302,-74.6645199,-130.8303032,-4710.709886,2.21E-06,0,0.914151595,0.158780565,0.072244384,3.308,0.2926174,0.472955961,0.049011231,0.14,0.385
0.899244422,17.3990625,3.3759375,0.425260274,0.394731496,87,north.WCPO,-41723.07805,-42542.02297,-178.3712464,984.5751173,7.719509122,-84.62029131,-17.69882337,-76.05213174,-132.8525666,-4758.251528,2.82E-07,0,0.899244422,0.071684588,0.086617978,4.559,0.4575948,0.57921763,0.045674626,0.126,0.497
0.859319679,17.3990625,3.3759375,0.329461783,0.30581023,88,north.WCPO,-41824.72943,-42457.38375,-170.0733981,786.3840472,9.665620989,-85.91302785,-10.03495129,-74.12541898,-130.8638726,-4711.260283,2.38E-06,0,0.859319679,0.283125708,0.067447102,2.507,0.21469241,0.428850031,0.049554849,0.147,0.364
0.8065848,17.3990625,3.3759375,0.389128042,0.361193141,89,north.WCPO,-41833.05143,-42461.06796,-173.6857197,786.1135904,9.023379874,-86.2334003,-12.27482268,-75.17749676,-130.7952862,-4710.086031,4.53E-06,0,0.8065848,0.212359312,0.077217731,2.678,0.24399048,0.496282479,0.046949469,0.161,0.364
0.926828796,17.3990625,3.3759375,0.367733998,0.341334942,90,north.WCPO,-41830.3721,-42459.86211,-172.5166622,786.1723505,9.234816767,-86.1687905,-11.57102132,-74.7768504,-130.822952,-4710.586841,2.42E-06,0,0.926828796,0.136314068,0.07362786,3.602,0.32401247,0.482372327,0.049140817,0.14,0.385
0.879444984,17.3990625,3.3759375,0.282889452,0.262581255,91,north.WCPO,-41816.17256,-42453.71888,-166.3209076,786.7781772,10.30493999,-85.41864673,-7.799570521,-73.10269034,-130.9079097,-4711.943979,7.24E-07,0,0.879444984,0.396667989,0.060245135,2.211,0.17277289,0.369592216,0.049875282,0.147,0.399
0.96888515,17.3990625,3.3759375,0.365637561,0.339389005,92,north.WCPO,-41830.08137,-42459.73913,-172.3862482,786.1808932,9.259902069,-86.16741491,-11.49851583,-74.72031743,-130.8253442,-4710.632665,8.13E-07,0,0.96888515,0.093720712,0.073044295,4.852,0.43169954,0.483086284,0.049311609,0.14,0.385
0.860637028,17.3990625,3.3759375,0.350818162,0.325633468,93,north.WCPO,-41823.31697,-42463.93447,-171.9842257,796.7333925,9.259132646,-85.45931885,-11.88903608,-74.63587072,-130.503472,-4704.975014,9.62E-07,0,0.860637028,0.211909303,0.072750748,2.775,0.24437925,0.478943329,0.047944457,0.07,0.371
0.935088057,17.3990625,3.3759375,0.438036315,0.406590364,94,north.WCPO,-41716.71292,-42555.16709,-178.8931918,1005.126813,7.560755801,-83.6735194,-19.03896868,-76.18070372,-133.2072692,-4767.242247,2.47E-06,0,0.935088057,0.044228218,0.093015991,6.335,0.66407702,0.601904791,0.045207611,0.294,0.427
0.885404147,17.3990625,3.3759375,0.370548089,0.343947014,95,north.WCPO,-41830.75203,-42460.02585,-172.6861613,786.1616672,9.203655826,-86.17305161,-11.66758121,-74.84552852,-130.819629,-4710.523577,6.06E-07,0,0.885404147,0.171057133,0.074009737,3.099,0.27929611,0.482218475,0.048648781,0.14,0.378
0.859728656,17.3990625,3.3759375,0.330171209,0.306468728,96,north.WCPO,-41824.84528,-42457.43401,-170.1233507,786.3785957,9.656915021,-85.91891033,-10.06558579,-74.13885458,-130.8630824,-4711.24693,7.34E-07,0,0.859728656,0.280741157,0.067558392,2.516,0.21558648,0.429799267,0.049535447,0.147,0.364
0.946871131,17.3990625,3.3759375,0.310851436,0.288535891,97,north.WCPO,-41821.50361,-42455.99918,-168.6823521,786.548988,9.912135814,-85.76302942,-9.217981213,-73.7013415,-130.885475,-4711.640084,3.75E-06,0,0.946871131,0.211729833,0.064550705,3.041,0.25425867,0.413425893,0.050753452,0.161,0.385
0.86839892,17.3990625,3.3759375,0.330340491,0.306625858,98,north.WCPO,-41824.87026,-42457.44551,-170.133612,786.3775376,9.655232254,-85.92255981,-10.074229,-74.13682322,-130.862927,-4711.245656,2.77E-06,0,0.86839892,0.269469146,0.067588206,2.569,0.22026321,0.430919923,0.049613037,0.147,0.364
0.936158226,17.3990625,3.3759375,0.302210243,0.280515036,99,north.WCPO,-41815.74946,-42460.86768,-168.5510021,797.0018215,9.905883923,-85.20371113,-9.659962491,-73.68732847,-130.5088063,-4705.073936,8.16E-07,0,0.936158226,0.23142791,0.06416585,2.865,0.23201542,0.421582834,0.049346437,0.084,0.343
0.95900429,17.3990625,3.3759375,0.283563497,0.263206912,100,north.WCPO,-41816.27377,-42453.7652,-166.3740234,786.7767892,10.30736882,-85.4508694,-7.851417687,-73.07173635,-130.9076921,-4711.956252,8.85E-07,0,0.95900429,0.260756193,0.060413052,2.795,0.21883744,0.378528845,0.05042539,0.147,0.392
